Common Name,Scientific Name,Order,Clade,Family
Ermine (Stoat),Mustela erminea,Carnivora,Clade 2.3.4.4b,Mustelidae
Feral Cat,Felis catus,Carnivora,Clade 2.3.4.4b,Felidae
Ferret,Mustela putorius furo,Carnivora,Prior,Mustelidae
Geoffroy's Cat,Leopardus geoffroyi,Carnivora,Clade 2.3.4.4b,Felidae
Gray Seal,Halichoerus grypus,Carnivora,Clade 2.3.4.4b,Phocidae
Harbor Seal,Phoca vitulina,Carnivora,Clade 2.3.4.4b,Phocidae
Leopard,Panthera pardus,Carnivora,Clade 1,Felidae
Leopard Seal,Hydrurga leptonyx,Carnivora,Clade 2.3.4.4b,Phocidae
Lion,Panthera leo,Carnivora,Clade 2.3.4.4b,Felidae
Lynx (Eurasian Lynx),Lynx lynx,Carnivora,Clade 2.3.4.4b,Felidae
Meerkat,Suricata suricatta,Carnivora,Prior,Herpestidae
Mountain Lion,Puma concolor,Carnivora,Clade 2.3.4.4b,Felidae
Polar Bear,Ursus maritimus,Carnivora,Clade 2.3.4.4b,Ursidae
Raccoon,Procyon lotor,Carnivora,Clade 2.3.4.4b,Procyonidae
Raccoon Dog,Nyctereutes procyonoides,Carnivora,Clade 2.3.4.4b,Canidae
Red Fox,Vulpes vulpes,Carnivora,Clade 2.3.4.4b,Canidae
Sea Otter,Enhydra lutris,Carnivora,Clade 2.3.4.4b,Mustelidae
Serval,Leptailurus serval,Carnivora,Clade 2.3.4.4b,Felidae
South American Fur Seal,Arctocephalus australis,Carnivora,Clade 2.3.4.4b,Otariidae
South American Sea Lion,Otaria flavescens,Carnivora,Clade 2.3.4.4b,Otariidae
Southern Elephant Seal,Mirounga leonina,Carnivora,Clade 2.3.4.4b,Phocidae
Striped Skunk,Mephitis mephitis,Carnivora,Clade 2.3.4.4b,Mephitidae
Tiger,Panthera tigris,Carnivora,Clade 2.3.4.4b,Felidae
Weasel (Least Weasel),Mustela nivalis,Carnivora,Clade 2.3.4.4b,Mustelidae
Wild Mink,Neogale vison,Carnivora,Clade 2.3.4.4b,Mustelidae
Fisher,Pekania pennanti,Carnivora,Clade 2.3.4.4b,Mustelidae
South American Coati,Nasua nasua,Carnivora,Clade 2.3.4.4b,Procyonidae
Emu,Dromaius novaehollandiae,Casuariiformes,Clade 2.3.4.4b,
Black Vulture,Coragyps atratus,Cathartiformes,Clade 2.3.4.4b,
California Condor,Gymnogyps californianus,Cathartiformes,Clade 2.3.4.4b,
King Vulture,Sarcoramphus papa,Cathartiformes,Clade 2.3.4.4b,
Turkey Vulture,Cathartes aura,Cathartiformes,Clade 2.3.4.4b,
Andean Gull,Chroicocephalus serranus,Charadriiformes,Clade 2.3.4.4b,
Arctic Tern,Sterna paradisaea,Charadriiformes,Clade 2.3.4.4b,
Atlantic Puffin,Fratercula arctica,Charadriiformes,Clade 2.3.4.4b,
Band Tailed Gull,Larus belcheri,Charadriiformes,Clade 2.3.4.4b,
Black Guillemot,Cepphus grylle,Charadriiformes,Clade 2.3.4.4b,
Black Headed Gull,Chroicocephalus ridibundus,Charadriiformes,Clade 2.3.4.4b,
Black Legged Kittiwake,Rissa tridactyla,Charadriiformes,Clade 2.3.4.4b,
Black Skimmer,Rynchops niger,Charadriiformes,Clade 2.3.4.4b,
Black Tailed Godwit,Limosa limosa,Charadriiformes,Clade 2.3.4.4b,
Black Tailed Gull,Larus crassirostris,Charadriiformes,Clade 2.3.4.4b,
Black Turnstone,Arenaria melanocephala,Charadriiformes,Clade 2.3.4.4b,
Black Winged Stilt,Himantopus himantopus,Charadriiformes,Clade 2.3.4.4b,
Blackish Oystercatcher,Haematopus ater,Charadriiformes,Clade 2.3.4.4b,
Bonaparte's Gull,Chroicocephalus philadelphia,Charadriiformes,Clade 2.3.4.4b,
Brown Headed Gull,Chroicocephalus brunnicephalus,Charadriiformes,Clade 2.3.4.4b,
California Gull,Larus californicus,Charadriiformes,Clade 2.3.4.4b,
Caspian Tern,Hydroprogne caspia,Charadriiformes,Clade 2.3.4.4b,
Common Gull,Larus canus,Charadriiformes,Clade 2.3.4.4b,
Common Murre,Uria aalge,Charadriiformes,Clade 2.3.4.4b,
Common Sandpiper,Actitis hypoleucos,Charadriiformes,Clade 2.3.4.4b,
Common Tern,Sterna hirundo,Charadriiformes,Clade 2.3.4.4b,
